ID,lat,lon
498,40.88507885,-72.34562516
499,40.9210516,-72.25114608
500,40.95679252,-72.1565809
501,40.98936378,-72.06088136
502,41.02159813,-71.96527064
503,41.05482523,-71.87143765
504,41.11797526,-71.79338054
505,41.14495127,-71.6964809
506,41.1470353,-71.59552271
507,41.20392526,-71.55290525
508,41.29751112,-71.52640181
509,41.38154084,-71.47091867
510,41.4518607,-71.40831321
511,41.45203906,-71.30789373
512,41.46425579,-71.21478036
513,41.47800991,-71.11851318
514,41.47505871,-71.02091929
515,41.40770881,-70.94576408
516,41.35993757,-70.85680536
517,41.30161926,-70.77589424
518,41.3525909,-70.69058525
519,41.34901561,-70.59005525
520,41.34960855,-70.48905566
521,41.35159102,-70.38807096
522,41.32114702,-70.29297423
523,41.2667314,-70.20814076
524,41.24148718,-70.11061197
525,41.2390203,-70.00963525
526,41.30604177,-69.96566973
527,41.37733505,-70.03548716
528,41.46680904,-70.04434106
529,41.55163211,-69.98942025
530,41.64186489,-69.94446359
531,41.74151997,-69.93099171
532,41.84124156,-69.946243
533,41.93588357,-69.98136056
534,42.02018915,-70.03640946
535,42.06920849,-70.12341006
536,42.07682862,-70.2237381
537,42.06377976,-70.32394959
538,42.04826881,-70.42384011
539,42.04430961,-70.52469011
540,42.07158286,-70.6211975
541,42.14309726,-70.69024515
542,42.23156892,-70.73674719
543,42.27666825,-70.82630036
544,42.33995649,-70.90029317
545,42.4373389,-70.89334326
546,42.50340184,-70.81791812
547,42.55024251,-70.72841481
548,42.59216129,-70.63642849
549,42.67068024,-70.60527377
550,42.70176927,-70.69593452
551,42.72298162,-70.78766456
552,42.82113417,-70.80919967
553,42.92094867,-70.80348078
554,43.0046615,-70.74797496
555,43.071934,-70.672621
556,43.14390617,-70.60219362
557,43.23972613,-70.574751
558,43.33227917,-70.54362761
559,43.34370118,-70.44470954
560,43.4138959,-70.37648727
561,43.49227186,-70.32377036
562,43.53511823,-70.2506699
563,43.58740847,-70.16671301
564,43.63117027,-70.0756394
565,43.69150303,-69.99504835
566,43.71986486,-69.90395742
567,43.7160943,-69.80622343
568,43.76040074,-69.71558711
569,43.80004689,-69.62288013
570,43.83065223,-69.52727487
571,43.84319445,-69.42696404
572,43.8553422,-69.32660274
573,43.89723743,-69.23753314
574,43.96161055,-69.15993727
575,43.99779227,-69.06600707
576,44.01808401,-68.96699526
577,44.02518892,-68.86630323
578,44.01290875,-68.76602734
579,44.00311683,-68.66553476
580,44.03999089,-68.57548688
581,44.0987573,-68.49568798
582,44.09311634,-68.39516679
583,44.13837866,-68.33496567
584,44.22885024,-68.30898911
585,44.22964891,-68.2088682
586,44.31843802,-68.18274622
587,44.32636102,-68.08352279
588,44.37352283,-67.99800041
589,44.39374413,-67.90139467
590,44.45142267,-67.81981095
591,44.4751388,-67.72596167
592,44.45084651,-67.62788163
593,44.4713287,-67.53183371
594,44.56103964,-67.49006448
595,44.59510105,-67.39788814
596,44.5991547,-67.2969418
597,44.63527623,-67.20330913
598,44.69968133,-67.12553809
599,44.75527382,-67.0412506
600,44.81361149,-66.95928838
601,44.76172506,-66.88105627
602,44.66433261,-66.8734762
603,44.57145461,-66.91244494
604,44.47858989,-66.88213649
605,44.41604763,-66.80323275
606,44.36970231,-66.71344501
607,44.33004513,-66.62046071
608,44.29250393,-66.52659385
609,44.25369632,-66.43324814
610,44.20945139,-66.34238946
611,44.15126128,-66.26004361
612,44.06716012,-66.20603229
613,43.96735699,-66.19166692
614,43.86651347,-66.1849373
615,43.77012225,-66.15644994
616,43.69121778,-66.09405733
617,43.63471401,-66.0106201
618,43.59743988,-65.91670991
619,43.55664633,-65.82437722
620,43.49304278,-65.74617647
