original_index,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9
225,226.0,1.0,30.0,28.89006624106704,-95.36418789417495,-20.0,78.0,66.5,9.9,1.13
228,229.0,1.0,30.0,28.89006624106704,-95.36418789417495,-20.0,18.0,107.6,19.8,0.84
233,234.0,1.0,31.0,29.23947424102582,-94.87493412474119,-20.0,58.0,57.7,22.2,1.3
234,235.0,1.0,31.0,29.23947424102582,-94.87493412474119,-20.0,38.0,51.4,13.7,1.08
236,237.0,1.0,32.0,29.5554412870186,-94.37227894219896,-20.0,138.0,29.1,29.2,1.47
245,246.0,1.0,33.0,29.710764928005112,-93.80032157796781,-20.0,98.0,29.5,11.2,1.49
247,248.0,1.0,33.0,29.710764928005112,-93.80032157796781,-20.0,58.0,51.9,18.8,1.28
252,253.0,1.0,34.0,29.771574553979043,-93.1906589787393,-20.0,98.0,62.9,27.7,1.04
254,255.0,1.0,34.0,29.771574553979043,-93.1906589787393,-20.0,58.0,40.0,9.5,1.22
255,256.0,1.0,34.0,29.771574553979043,-93.1906589787393,-20.0,38.0,38.7,19.6,1.46
262,263.0,1.0,35.0,29.560886311928385,-92.46455511814234,-20.0,38.0,71.4,20.7,1.01
265,266.0,1.0,36.0,29.490813046563094,-91.79352793571707,-20.0,118.0,14.0,11.1,1.36
266,267.0,1.0,36.0,29.490813046563094,-91.79352793571707,-20.0,98.0,49.1,9.3,0.94
267,268.0,1.0,36.0,29.490813046563094,-91.79352793571707,-20.0,78.0,54.6,18.9,1.36
268,269.0,1.0,36.0,29.490813046563094,-91.79352793571707,-20.0,58.0,18.5,14.5,1.63
269,270.0,1.0,36.0,29.490813046563094,-91.79352793571707,-20.0,38.0,42.2,15.8,1.24
270,271.0,1.0,36.0,29.490813046563094,-91.79352793571707,-20.0,18.0,77.8,9.1,1.15
274,275.0,1.0,37.0,29.09857516048018,-90.98373778994785,-20.0,78.0,52.7,10.3,1.2
275,276.0,1.0,37.0,29.09857516048018,-90.98373778994785,-20.0,58.0,85.3,19.3,1.05
276,277.0,1.0,37.0,29.09857516048018,-90.98373778994785,-20.0,38.0,49.5,14.1,1.15
277,278.0,1.0,37.0,29.09857516048018,-90.98373778994785,-20.0,18.0,58.2,31.4,1.1
280,281.0,1.0,38.0,29.064111410271206,-90.33431186643692,-20.0,98.0,67.8,29.5,1.05
281,282.0,1.0,38.0,29.064111410271206,-90.33431186643692,-20.0,78.0,40.0,12.1,1.17
282,283.0,1.0,38.0,29.064111410271206,-90.33431186643692,-20.0,58.0,31.0,32.7,1.23
283,284.0,1.0,38.0,29.064111410271206,-90.33431186643692,-20.0,38.0,40.4,26.6,1.43
284,285.0,1.0,38.0,29.064111410271206,-90.33431186643692,-20.0,18.0,80.7,18.2,1.18
286,287.0,1.0,39.0,29.33776777110762,-89.8015915874748,-20.0,118.0,15.7,15.9,1.71
287,288.0,1.0,39.0,29.33776777110762,-89.8015915874748,-20.0,98.0,47.3,9.8,0.98
289,290.0,1.0,39.0,29.33776777110762,-89.8015915874748,-20.0,58.0,81.5,21.0,0.94
291,292.0,1.0,39.0,29.33776777110762,-89.8015915874748,-20.0,18.0,98.3,24.5,0.85
292,293.0,1.0,40.0,29.73772513789312,-89.32550456278253,-20.0,138.0,16.8,19.6,1.38
293,294.0,1.0,40.0,29.73772513789312,-89.32550456278253,-20.0,118.0,14.6,23.8,1.73
294,295.0,1.0,40.0,29.73772513789312,-89.32550456278253,-20.0,98.0,30.5,32.9,1.21
296,297.0,1.0,40.0,29.73772513789312,-89.32550456278253,-20.0,58.0,74.8,12.4,1.1
297,298.0,1.0,40.0,29.73772513789312,-89.32550456278253,-20.0,38.0,68.8,27.7,1.05
298,299.0,1.0,40.0,29.73772513789312,-89.32550456278253,-20.0,18.0,29.5,12.6,1.11
299,300.0,1.0,41.0,30.23785153155772,-88.87634539890041,-20.0,138.0,30.7,11.0,1.34
300,301.0,1.0,41.0,30.23785153155772,-88.87634539890041,-20.0,118.0,23.1,30.4,1.66
301,302.0,1.0,41.0,30.23785153155772,-88.87634539890041,-20.0,98.0,15.6,18.9,1.62
302,303.0,1.0,41.0,30.23785153155772,-88.87634539890041,-20.0,78.0,24.0,18.4,1.6
304,305.0,1.0,41.0,30.23785153155772,-88.87634539890041,-20.0,38.0,109.9,24.0,0.77
306,307.0,1.0,42.0,30.240520964617918,-88.23751199311178,-20.0,138.0,9.7,26.6,1.64
307,308.0,1.0,42.0,30.240520964617918,-88.23751199311178,-20.0,118.0,40.6,15.3,0.94
308,309.0,1.0,42.0,30.240520964617918,-88.23751199311178,-20.0,98.0,28.6,28.6,1.62
309,310.0,1.0,42.0,30.240520964617918,-88.23751199311178,-20.0,78.0,61.2,35.2,1.19
338,339.0,1.0,46.0,29.206651586632375,-94.93,0.0,88.0,40.9,25.3,0.95
346,347.0,1.0,47.0,29.575443775078718,-94.32,0.0,88.0,68.0,20.6,0.95
348,349.0,1.0,47.0,29.575443775078718,-94.32,0.0,48.0,62.3,26.7,1.03
363,364.0,1.0,49.0,29.75360343078662,-93.10000000000001,0.0,68.0,74.1,15.4,1.28
364,365.0,1.0,49.0,29.75360343078662,-93.10000000000001,0.0,48.0,56.0,11.7,1.08
371,372.0,1.0,50.0,29.56527409124056,-92.49,0.0,68.0,58.6,20.5,1.41
373,374.0,1.0,50.0,29.56527409124056,-92.49,0.0,28.0,90.9,9.7,0.85
375,376.0,1.0,51.0,29.496170452094823,-91.88,0.0,148.0,22.5,33.0,1.67
378,379.0,1.0,51.0,29.496170452094823,-91.88,0.0,88.0,13.2,33.2,1.71
379,380.0,1.0,51.0,29.496170452094823,-91.88,0.0,68.0,39.7,21.1,1.35
380,381.0,1.0,51.0,29.496170452094823,-91.88,0.0,48.0,19.6,8.6,1.23
381,382.0,1.0,51.0,29.496170452094823,-91.88,0.0,28.0,80.8,10.8,1.01
382,383.0,1.0,51.0,29.496170452094823,-91.88,0.0,8.0,64.1,16.2,1.08
384,385.0,1.0,52.0,29.24523348986443,-91.27,0.0,128.0,24.8,16.2,1.48
385,386.0,1.0,52.0,29.24523348986443,-91.27,0.0,108.0,20.5,13.4,1.53
386,387.0,1.0,52.0,29.24523348986443,-91.27,0.0,88.0,23.8,23.8,1.3
387,388.0,1.0,52.0,29.24523348986443,-91.27,0.0,68.0,86.2,18.9,0.93
391,392.0,1.0,53.0,29.06727786888826,-90.65999999999998,0.0,148.0,8.3,16.4,1.78
392,393.0,1.0,53.0,29.06727786888826,-90.65999999999998,0.0,128.0,40.2,19.8,1.02
393,394.0,1.0,53.0,29.06727786888826,-90.65999999999998,0.0,108.0,48.0,10.9,1.04
395,396.0,1.0,53.0,29.06727786888826,-90.65999999999998,0.0,68.0,45.8,11.0,1.14
397,398.0,1.0,53.0,29.06727786888826,-90.65999999999998,0.0,28.0,19.9,12.9,1.3
398,399.0,1.0,53.0,29.06727786888826,-90.65999999999998,0.0,8.0,130.5,15.4,0.67
399,400.0,1.0,54.0,29.195898232268753,-90.04999999999998,0.0,148.0,13.9,24.2,1.49
400,401.0,1.0,54.0,29.195898232268753,-90.04999999999998,0.0,128.0,19.8,25.9,1.28
401,402.0,1.0,54.0,29.195898232268753,-90.04999999999998,0.0,108.0,44.0,34.0,0.95
403,404.0,1.0,54.0,29.195898232268753,-90.04999999999998,0.0,68.0,31.3,9.7,1.56
404,405.0,1.0,54.0,29.195898232268753,-90.04999999999998,0.0,48.0,52.0,13.7,1.05
405,406.0,1.0,54.0,29.195898232268753,-90.04999999999998,0.0,28.0,115.6,16.6,0.67
406,407.0,1.0,54.0,29.195898232268753,-90.04999999999998,0.0,8.0,49.1,25.4,1.37
411,412.0,1.0,55.0,29.65878224752458,-89.44,0.0,68.0,16.2,23.0,1.66
412,413.0,1.0,55.0,29.65878224752458,-89.44,0.0,48.0,92.5,22.1,1.25
413,414.0,1.0,55.0,29.65878224752458,-89.44,0.0,28.0,31.8,25.6,1.33
415,416.0,1.0,56.0,30.249364008858553,-88.83000000000001,0.0,148.0,8.8,10.6,1.75
417,418.0,1.0,56.0,30.249364008858553,-88.83000000000001,0.0,108.0,57.9,18.8,1.09
422,423.0,1.0,56.0,30.249364008858553,-88.83000000000001,0.0,8.0,92.5,23.5,1.09
424,425.0,1.0,57.0,30.24232462279611,-88.22000000000001,0.0,128.0,22.8,10.8,1.3
426,427.0,1.0,57.0,30.24232462279611,-88.22000000000001,0.0,88.0,27.9,16.8,1.62
429,430.0,1.0,57.0,30.24232462279611,-88.22000000000001,0.0,28.0,99.1,14.9,0.69
430,431.0,1.0,57.0,30.24232462279611,-88.22000000000001,0.0,8.0,41.4,12.9,1.04
456,457.0,1.0,61.0,29.061844145771868,-95.14086825224308,20.0,98.0,43.9,21.2,1.07
463,464.0,1.0,62.0,29.588327648106322,-94.28651736014633,20.0,98.0,45.5,21.8,1.04
465,466.0,1.0,62.0,29.588327648106322,-94.28651736014633,20.0,58.0,48.3,16.8,1.26
473,474.0,1.0,63.0,29.759268572078753,-93.58030593456064,20.0,38.0,74.1,16.7,0.99
478,479.0,1.0,64.0,29.715452191394633,-92.96771095404281,20.0,78.0,56.7,15.8,1.18
481,482.0,1.0,64.0,29.715452191394633,-92.96771095404281,20.0,18.0,83.8,14.8,1.0
482,483.0,1.0,65.0,29.547800792035527,-92.39673277418485,20.0,138.0,8.7,16.6,1.4
483,484.0,1.0,65.0,29.547800792035527,-92.39673277418485,20.0,118.0,48.6,13.7,0.97
484,485.0,1.0,65.0,29.547800792035527,-92.39673277418485,20.0,98.0,32.6,42.8,1.19
485,486.0,1.0,65.0,29.547800792035527,-92.39673277418485,20.0,78.0,50.9,13.0,1.31
486,487.0,1.0,65.0,29.547800792035527,-92.39673277418485,20.0,58.0,21.2,11.2,1.3
488,489.0,1.0,65.0,29.547800792035527,-92.39673277418485,20.0,18.0,138.6,16.0,0.61
489,490.0,1.0,66.0,29.49083434158063,-91.7932201479847,20.0,138.0,18.7,21.6,1.67
490,491.0,1.0,66.0,29.49083434158063,-91.7932201479847,20.0,118.0,21.1,36.5,1.63
492,493.0,1.0,66.0,29.49083434158063,-91.7932201479847,20.0,78.0,33.4,11.2,1.28
493,494.0,1.0,66.0,29.49083434158063,-91.7932201479847,20.0,58.0,66.7,21.6,1.09
494,495.0,1.0,66.0,29.49083434158063,-91.7932201479847,20.0,38.0,23.8,30.3,1.36
495,496.0,1.0,66.0,29.49083434158063,-91.7932201479847,20.0,18.0,113.2,14.4,0.86
496,497.0,1.0,67.0,29.24222060512948,-91.25719094264865,20.0,138.0,23.2,12.1,1.27
498,499.0,1.0,67.0,29.24222060512948,-91.25719094264865,20.0,98.0,59.1,37.7,1.02
501,502.0,1.0,67.0,29.24222060512948,-91.25719094264865,20.0,38.0,64.1,9.2,1.2
502,503.0,1.0,67.0,29.24222060512948,-91.25719094264865,20.0,18.0,72.4,21.5,1.11
503,504.0,1.0,68.0,29.05682611015589,-90.70291559230284,20.0,138.0,17.3,33.2,1.73
505,506.0,1.0,68.0,29.05682611015589,-90.70291559230284,20.0,98.0,34.8,22.5,1.31
506,507.0,1.0,68.0,29.05682611015589,-90.70291559230284,20.0,78.0,16.2,14.4,1.47
508,509.0,1.0,68.0,29.05682611015589,-90.70291559230284,20.0,38.0,45.8,8.8,1.05
509,510.0,1.0,68.0,29.05682611015589,-90.70291559230284,20.0,18.0,67.4,25.5,1.09
511,512.0,1.0,69.0,29.225408395092206,-90.00519995309696,20.0,118.0,31.3,20.5,1.56
512,513.0,1.0,69.0,29.225408395092206,-90.00519995309696,20.0,98.0,20.5,20.0,1.7
513,514.0,1.0,69.0,29.225408395092206,-90.00519995309696,20.0,78.0,38.6,25.2,1.37
515,516.0,1.0,69.0,29.225408395092206,-90.00519995309696,20.0,38.0,98.7,16.2,1.13
516,517.0,1.0,69.0,29.225408395092206,-90.00519995309696,20.0,18.0,47.9,10.5,1.05
518,519.0,1.0,70.0,30.21553354170391,-88.96196827050039,20.0,118.0,45.2,12.2,1.01
519,520.0,1.0,70.0,30.21553354170391,-88.96196827050039,20.0,98.0,23.1,12.2,1.35
520,521.0,1.0,70.0,30.21553354170391,-88.96196827050039,20.0,78.0,58.8,23.1,1.17
522,523.0,1.0,70.0,30.21553354170391,-88.96196827050039,20.0,38.0,47.6,19.1,1.28
526,527.0,1.0,71.0,30.228886276627172,-88.32323883176934,20.0,98.0,41.0,15.6,0.98
527,528.0,1.0,71.0,30.228886276627172,-88.32323883176934,20.0,78.0,69.5,13.5,1.16
528,529.0,1.0,71.0,30.228886276627172,-88.32323883176934,20.0,58.0,46.5,27.7,1.23
529,530.0,1.0,71.0,30.228886276627172,-88.32323883176934,20.0,38.0,20.6,17.6,1.28
530,531.0,1.0,71.0,30.228886276627172,-88.32323883176934,20.0,18.0,90.5,10.8,0.88
549,550.0,1.0,74.0,29.680808406119283,-93.96921991147399,40.0,68.0,99.5,16.4,0.91
561,562.0,1.0,76.0,29.56600128041482,-92.49421699481917,40.0,148.0,15.6,26.5,1.6
562,563.0,1.0,76.0,29.56600128041482,-92.49421699481917,40.0,128.0,12.1,25.2,1.55
563,564.0,1.0,76.0,29.56600128041482,-92.49421699481917,40.0,108.0,45.9,31.5,1.05
564,565.0,1.0,76.0,29.56600128041482,-92.49421699481917,40.0,88.0,38.2,11.4,1.52
565,566.0,1.0,76.0,29.56600128041482,-92.49421699481917,40.0,68.0,44.2,38.6,1.22
567,568.0,1.0,76.0,29.56600128041482,-92.49421699481917,40.0,28.0,26.6,11.5,1.35
568,569.0,1.0,76.0,29.56600128041482,-92.49421699481917,40.0,8.0,96.3,8.3,0.72
569,570.0,1.0,77.0,29.49230543570234,-91.7719576755323,40.0,148.0,18.5,46.5,1.3
572,573.0,1.0,77.0,29.49230543570234,-91.7719576755323,40.0,88.0,52.1,9.6,0.94
573,574.0,1.0,77.0,29.49230543570234,-91.7719576755323,40.0,68.0,26.1,9.3,1.33
575,576.0,1.0,77.0,29.49230543570234,-91.7719576755323,40.0,28.0,84.0,26.6,0.96
577,578.0,1.0,78.0,29.23577451169088,-91.22978585157786,40.0,148.0,12.0,13.4,1.37
578,579.0,1.0,78.0,29.23577451169088,-91.22978585157786,40.0,128.0,30.0,11.3,1.29
579,580.0,1.0,78.0,29.23577451169088,-91.22978585157786,40.0,108.0,22.0,17.7,1.27
584,585.0,1.0,78.0,29.23577451169088,-91.22978585157786,40.0,8.0,45.2,22.0,1.34
585,586.0,1.0,79.0,29.080702213781574,-90.58990812402142,40.0,148.0,9.8,30.9,1.37
588,589.0,1.0,79.0,29.080702213781574,-90.58990812402142,40.0,88.0,32.2,19.5,1.42
589,590.0,1.0,79.0,29.080702213781574,-90.58990812402142,40.0,68.0,52.7,29.8,1.14
590,591.0,1.0,79.0,29.080702213781574,-90.58990812402142,40.0,48.0,44.8,12.9,1.35
591,592.0,1.0,79.0,29.080702213781574,-90.58990812402142,40.0,28.0,87.3,30.7,1.19
592,593.0,1.0,79.0,29.080702213781574,-90.58990812402142,40.0,8.0,21.5,26.6,1.45
595,596.0,1.0,80.0,30.234119989862055,-88.71131903559106,40.0,108.0,39.2,12.9,1.5
596,597.0,1.0,80.0,30.234119989862055,-88.71131903559106,40.0,88.0,16.1,12.9,1.44
598,599.0,1.0,80.0,30.234119989862055,-88.71131903559106,40.0,48.0,77.8,20.3,1.14
599,600.0,1.0,80.0,30.234119989862055,-88.71131903559106,40.0,28.0,37.0,23.1,1.2
600,601.0,1.0,80.0,30.234119989862055,-88.71131903559106,40.0,8.0,55.3,13.2,1.09
603,604.0,1.0,81.0,30.225469068137045,-87.92468868130652,40.0,108.0,28.4,14.5,1.27
605,606.0,1.0,81.0,30.225469068137045,-87.92468868130652,40.0,68.0,77.6,25.9,1.23
606,607.0,1.0,81.0,30.225469068137045,-87.92468868130652,40.0,48.0,25.6,22.8,1.48
